Arkivtema-Behandlingstype,Arkivtema,Behandlingstema,Behandlingstype
TILSTOVER;TSTOV;TSOREISAKT-E,TSO,ab0296,ae0052
TILSTOVER;TSTOV;TSOREISAKT-O,TSO,ab0296,ae0014
TILSTOVER;TSTOV;TSOREISAKT-S,TSO,ab0296,ae0032
TILSTOVER;TSTOV;TSOREISARB-E,TSO,ab0298,ae0052
TILSTOVER;TSTOV;TSOREISARB-O,TSO,ab0298,ae0014
TILSTOVER;TSTOV;TSOREISARB-S,TSO,ab0298,ae0032
TILSTOVER;TSTOV;TSOREISOBL-E,TSO,ab0294,ae0052
TILSTOVER;TSTOV;TSOREISOBL-O,TSO,ab0294,ae0014
TILSTOVER;TSTOV;TSOREISOBL-S,TSO,ab0294,ae0032
TILSTOVER;TSTOV;TSOTILBARN-E,TSO,ab0300,ae0052
TILSTOVER;TSTOV;TSOTILBARN-O,TSO,ab0300,ae0014
TILSTOVER;TSTOV;TSOTILBARN-S,TSO,ab0300,ae0032
TILSTOVER;TSTOV;TSOTILFAM-E,TSO,ab0302,ae0052
TILSTOVER;TSTOV;TSOTILFAM-O,TSO,ab0302,ae0014
TILSTOVER;TSTOV;TSOTILFAM-S,TSO,ab0302,ae0032
TILSTRAMME;TSTRA;TSRBOUTG-E,TSR,ab0285,ae0052
TILSTRAMME;TSTRA;TSRBOUTG-O,TSR,ab0285,ae0014
TILSTRAMME;TSTRA;TSRBOUTG-S,TSR,ab0285,ae0032
TILSTRAMME;TSTRA;TSRDAGREIS-E,TSR,ab0287,ae0052
TILSTRAMME;TSTRA;TSRDAGREIS-O,TSR,ab0287,ae0014
TILSTRAMME;TSTRA;TSRDAGREIS-S,TSR,ab0287,ae0032
TILSTRAMME;TSTRA;TSRFLYTT-E,TSR,ab0289,ae0052
TILSTRAMME;TSTRA;TSRFLYTT-O,TSR,ab0289,ae0014
TILSTRAMME;TSTRA;TSRFLYTT-S,TSR,ab0289,ae0032
TILSTRAMME;TSTRA;TSRLMIDLER-E,TSR,ab0291,ae0052
TILSTRAMME;TSTRA;TSRLMIDLER-O,TSR,ab0291,ae0014
TILSTRAMME;TSTRA;TSRLMIDLER-S,TSR,ab0291,ae0032
TILSTRAMME;TSTRA;TSRREISAKT-E,TSR,ab0295,ae0052
TILSTRAMME;TSTRA;TSRREISAKT-O,TSR,ab0295,ae0014
TILSTRAMME;TSTRA;TSRREISAKT-S,TSR,ab0295,ae0032
TILSTRAMME;TSTRA;TSRREISARB-E,TSR,ab0297,ae0052
TILSTRAMME;TSTRA;TSRREISARB-O,TSR,ab0297,ae0014
TILSTRAMME;TSTRA;TSRREISARB-S,TSR,ab0297,ae0032
TILSTRAMME;TSTRA;TSRREISOBL-E,TSR,ab0293,ae0052
TILSTRAMME;TSTRA;TSRREISOBL-O,TSR,ab0293,ae0014
TILSTRAMME;TSTRA;TSRREISOBL-S,TSR,ab0293,ae0032
TILSTRAMME;TSTRA;TSRTILBARN-E,TSR,ab0299,ae0052
TILSTRAMME;TSTRA;TSRTILBARN-O,TSR,ab0299,ae0014
TILSTRAMME;TSTRA;TSRTILBARN-S,TSR,ab0299,ae0032
TILSTRAMME;TSTRA;TSRTILFAM-E,TSR,ab0301,ae0052
TILSTRAMME;TSTRA;TSRTILFAM-O,TSR,ab0301,ae0014
TILSTRAMME;TSTRA;TSRTILFAM-S,TSR,ab0301,ae0032
VLONN;VLONN;VLONN-E,VEN,ab0063,ae0052
VLONN;VLONN;VLONN-O,VEN,ab0063,ae0014
VLONN;VLONN;VLONN-S,VEN,ab0063,ae0032
